Nikolay Ivanovitch Sviazhsky,Princess Betsy Tverskoy,2
Nikolay Ivanovitch Sviazhsky,Anna Pavlovna,2
Nikolay Ivanovitch Sviazhsky,Marya Nikolaevna,2
Nikolay Ivanovitch Sviazhsky,Prince Alexander Shtcherbatsky,2
Mihailov,Count Alexey Kirillovitch Vronsky,32
Mihailov,Golenishtchev,26
Mihailov,Anna Arkadyevna Karenin,22
Mihailov,Countess Vronsky,8
Mihailov,Madame Karenina,2
Mihailov,Prince Stepan Arkadyevitch Oblonsky,2
Mihailov,Konstantin Dmitrievitch Levin,2
Mihailov,Nikolay Levin,2
Petrov,Princess Ekaterina Alexandrovna Shtcherbatsky,8
Petrov,Madame Stahl,2
Petrov,Varvara Andreevna,2
Petrov,Anna Pavlovna,4
Yegorushka Korsunsky,Princess Ekaterina Alexandrovna Shtcherbatsky,14
Yegorushka Korsunsky,Prince Stepan Arkadyevitch Oblonsky,2
Yegorushka Korsunsky,Konstantin Dmitrievitch Levin,2
Yegorushka Korsunsky,Anna Arkadyevna Karenin,18
Yegorushka Korsunsky,Count Alexey Kirillovitch Vronsky,4
Yegorushka Korsunsky,Countess Nordston,2
Kritsky,Konstantin Dmitrievitch Levin,4
Kritsky,Nikolay Levin,6
Kritsky,Sergey Ivanovitch Koznishev,2
Mlle. Linon,Princess Natalia,2
Mlle. Linon,Konstantin Dmitrievitch Levin,8
Mlle. Linon,Princess Ekaterina Alexandrovna Shtcherbatsky,4
Mlle. Linon,Prince Alexander Shtcherbatsky,2
Mlle. Linon,Nikolay Levin,2
Mlle. Linon,Princess Darya Alexandrovna,2
Princess Natalia,Konstantin Dmitrievitch Levin,10
Princess Natalia,Princess Ekaterina Alexandrovna Shtcherbatsky,12
Princess Natalia,Prince Alexander Shtcherbatsky,2
Princess Natalia,Nikolay Levin,2
Princess Natalia,Mlle. Linon,2
Princess Natalia,Princess Darya Alexandrovna,10
Princess Natalia,Arseny Lvov,10
Princess Natalia,Prince Stepan Arkadyevitch Oblonsky,2
Princess Natalia,Anna Arkadyevna Karenin,2
Princess Natalia,Varvara Andreevna,2
Princess Darya Alexandrovna,Prince Stepan Arkadyevitch Oblonsky,104
Princess Darya Alexandrovna,Anna Arkadyevna Karenin,224
Princess Darya Alexandrovna,Marya Philimonovna,14
Princess Darya Alexandrovna,Princess Natalia,10
Princess Darya Alexandrovna,Konstantin Dmitrievitch Levin,132
Princess Darya Alexandrovna,Princess Ekaterina Alexandrovna Shtcherbatsky,102
Princess Darya Alexandrovna,Prince Alexander Shtcherbatsky,6
Princess Darya Alexandrovna,Nikolay Levin,20
Princess Darya Alexandrovna,Mlle. Linon,2
Princess Darya Alexandrovna,Arseny Lvov,6
Princess Darya Alexandrovna,Count Alexey Kirillovitch Vronsky,70
Princess Darya Alexandrovna,Grisha,22
Princess Darya Alexandrovna,Tanya,18
Princess Darya Alexandrovna,Countess Vronsky,8
Princess Darya Alexandrovna,Alexey Alexandrovitch Karenin,40
Princess Darya Alexandrovna,Nikolay Ivanovitch Sviazhsky,22
Princess Darya Alexandrovna,Sergey Ivanovitch Koznishev,22
Princess Darya Alexandrovna,Professor Katavasov,2
Princess Darya Alexandrovna,Vassily Fedorovitch,2
Princess Darya Alexandrovna,Agafea Mihalovna,6
Princess Darya Alexandrovna,Varvara Andreevna,12
Princess Darya Alexandrovna,Vassenka Veslovsky,32
Princess Darya Alexandrovna,Marya Nikolaevna,4
Princess Darya Alexandrovna,Princess Varvara,22
Princess Darya Alexandrovna,Anna Pavlovna,2
Princess Darya Alexandrovna,Sergey,4
Princess Darya Alexandrovna,Captain Yashvin,2
Vassily Fedorovitch,Konstantin Dmitrievitch Levin,12
Vassily Fedorovitch,Nikolay Levin,2
Vassily Fedorovitch,Princess Darya Alexandrovna,2
Vassily Fedorovitch,Sergey,10
Vassily Fedorovitch,Prince Alexander Shtcherbatsky,4
Vassily Fedorovitch,Countess Lidia Ivanovna,2
Vassily Fedorovitch,Alexey Alexandrovitch Karenin,2
Countess Vronsky,Countess Nordston,2
Countess Vronsky,Count Alexey Kirillovitch Vronsky,76
Countess Vronsky,Madame Karenina,14
Countess Vronsky,Prince Stepan Arkadyevitch Oblonsky,10
Countess Vronsky,Anna Arkadyevna Karenin,54
Countess Vronsky,Alexey Alexandrovitch Karenin,20
Countess Vronsky,Princess Darya Alexandrovna,8
Countess Vronsky,Princess Betsy Tverskoy,12
Countess Vronsky,Lieutenant Petritsky,4
Countess Vronsky,Captain Yashvin,14
Countess Vronsky,Sergey,4
Countess Vronsky,Countess Lidia Ivanovna,4
Countess Vronsky,Varya,6
Countess Vronsky,Konstantin Dmitrievitch Levin,10
Countess Vronsky,Princess Ekaterina Alexandrovna Shtcherbatsky,2
Countess Vronsky,Golenishtchev,14
Countess Vronsky,Mihailov,8
Countess Vronsky,Vassenka Veslovsky,2
Countess Vronsky,Princess Varvara,4
Countess Vronsky,Sergey Ivanovitch Koznishev,8
Countess Vronsky,Nikolay Levin,4
Countess Vronsky,Marya Nikolaevna,2
Prince Stepan Arkadyevitch Oblonsky,Princess Darya Alexandrovna,104
Prince Stepan Arkadyevitch Oblonsky,Marya Philimonovna,2
Prince Stepan Arkadyevitch Oblonsky,Tanya,6
Prince Stepan Arkadyevitch Oblonsky,Grisha,10
Prince Stepan Arkadyevitch Oblonsky,Alexey Alexandrovitch Karenin,100
Prince Stepan Arkadyevitch Oblonsky,Anna Arkadyevna Karenin,70
Prince Stepan Arkadyevitch Oblonsky,Konstantin Dmitrievitch Levin,312
Prince Stepan Arkadyevitch Oblonsky,Nikolay Levin,52
Prince Stepan Arkadyevitch Oblonsky,Sergey Ivanovitch Koznishev,46
Prince Stepan Arkadyevitch Oblonsky,Princess Ekaterina Alexandrovna Shtcherbatsky,90
Prince Stepan Arkadyevitch Oblonsky,Arseny Lvov,8
Prince Stepan Arkadyevitch Oblonsky,Princess Natalia,2
Prince Stepan Arkadyevitch Oblonsky,Count Alexey Kirillovitch Vronsky,78
Prince Stepan Arkadyevitch Oblonsky,Countess Vronsky,10
Prince Stepan Arkadyevitch Oblonsky,Madame Karenina,2
Prince Stepan Arkadyevitch Oblonsky,Yegorushka Korsunsky,2
Prince Stepan Arkadyevitch Oblonsky,Princess Betsy Tverskoy,18
Prince Stepan Arkadyevitch Oblonsky,Agafea Mihalovna,10
Prince Stepan Arkadyevitch Oblonsky,Prince Alexander Shtcherbatsky,6
Prince Stepan Arkadyevitch Oblonsky,Sergey,8
Prince Stepan Arkadyevitch Oblonsky,Varvara Andreevna,8
Prince Stepan Arkadyevitch Oblonsky,Vassenka Veslovsky,60
Prince Stepan Arkadyevitch Oblonsky,Marya Nikolaevna,4
Prince Stepan Arkadyevitch Oblonsky,Princess Varvara,4
Prince Stepan Arkadyevitch Oblonsky,Nikolay Ivanovitch Sviazhsky,12
Prince Stepan Arkadyevitch Oblonsky,Anna Pavlovna,2
Prince Stepan Arkadyevitch Oblonsky,Mihailov,2
Prince Stepan Arkadyevitch Oblonsky,Captain Yashvin,4
Prince Stepan Arkadyevitch Oblonsky,Countess Lidia Ivanovna,22
