,station,stress,latitude,longitude,geometry,covid_19_deaths_per_thousand
206,elm-park,1496,51.5491245841858,0.197252681986762,POINT (0.197252681986762 51.5491245841858),0.569476082
207,leyton,16848,51.5581322702431,-0.00646533158243596,POINT (-0.00646533158243596 51.5581322702431),0.204185809
208,leytonstone,13903,51.5685222890996,0.00914045195130117,POINT (0.009140451951301171 51.5685222890996),0.305872757
209,snaresbrook,5846,51.5808912737665,0.0214639277817424,POINT (0.0214639277817424 51.5808912737665),0.803277372
210,south-woodford,5327,51.591552616345396,0.027943078326038998,POINT (0.027943078326039 51.5915526163454),0.524462426
211,woodford,4165,51.6072018443785,0.0340562023454831,POINT (0.0340562023454831 51.6072018443785),1.030444965
212,buckhurst-hill,2715,51.626576660928,0.0467125412965725,POINT (0.0467125412965725 51.626576660928),2.5
213,loughton,2126,51.641570477697705,0.0552790791032814,POINT (0.0552790791032814 51.64157047769771),2.5
214,debden,1417,51.645492001721,0.0838014748371958,POINT (0.0838014748371958 51.645492001721),2.5
215,theydon-bois,986,51.6725520831721,0.10289073625208199,POINT (0.102890736252082 51.6725520831721),2.5
216,epping,753,51.6936861661113,0.11382555274482599,POINT (0.113825552744826 51.6936861661113),2.5
217,fenchurch-street,933,51.5115667058932,-0.0785541528077214,POINT (-0.07855415280772141 51.5115667058932),1.459034792
218,fulham-broadway,9791,51.480260903539104,-0.19554416374798997,POINT (-0.19554416374799 51.4802609035391),0.69637883
219,royal-oak,11168,51.5182943526052,-0.188823673616337,POINT (-0.188823673616337 51.5182943526052),0.087275266
220,westbourne-park,11084,51.52098884133861,-0.20088251515821104,POINT (-0.200882515158211 51.52098884133861),0.592329335
221,ladbroke-grove,10769,51.5172106734536,-0.210198172458574,POINT (-0.210198172458574 51.5172106734536),0.624843789
222,latimer-road,10088,51.5139580984839,-0.217459666065143,POINT (-0.217459666065143 51.5139580984839),0.604047116
223,wood-lane,9786,51.5096581948003,-0.22447260863862306,POINT (-0.2244726086386231 51.5096581948003),0.260846883
224,shepherds-bush-market,9463,51.50588070810721,-0.227400493416075,POINT (-0.227400493416075 51.50588070810721),0.0
225,goldhawk-road,8914,51.502076966571295,-0.227404006254784,POINT (-0.227404006254784 51.50207696657129),1.393663477
226,goodge-street,9891,51.52061310945721,-0.13480769016588698,POINT (-0.134807690165887 51.52061310945721),0.299520767
227,wanstead,5375,51.5749021498173,0.0287604723850641,POINT (0.0287604723850641 51.5749021498173),0.172028213
228,redbridge,4767,51.5763669173707,0.0453940439621216,POINT (0.0453940439621216 51.5763669173707),0.705168888
229,gants-hill,4066,51.5765529520727,0.0660840978012218,POINT (0.06608409780122181 51.5765529520727),0.0
230,newbury-park,2575,51.5756383559361,0.090303157711892,POINT (0.090303157711892 51.5756383559361),0.658587987
231,barkingside,1453,51.5858506139378,0.0884766396392107,POINT (0.08847663963921069 51.5858506139378),0.658587987
